n_decks,P1,P2,tricks_wins,tricks_ties,cards_wins,cards_ties
146,000,001,47,24,64,2
146,000,010,25,14,38,2
146,000,011,12,11,24,2
146,000,100,0,0,0,0
146,000,101,26,13,33,3
146,000,110,1,1,1,0
146,000,111,47,48,71,3
146,001,000,75,24,80,2
146,001,010,117,14,129,2
146,001,011,131,10,141,0
146,001,100,4,1,0,0
146,001,101,130,5,136,3
146,001,110,64,26,66,6
146,001,111,144,1,144,0
146,010,000,107,14,106,2
146,010,001,15,14,15,2
146,010,011,68,25,88,3
146,010,100,67,22,59,7
146,010,101,69,28,77,2
146,010,110,15,21,10,2
146,010,111,117,15,119,0
146,011,000,123,11,120,2
146,011,001,5,10,5,0
146,011,010,53,25,55,3
146,011,100,54,22,67,6
146,011,101,61,23,88,1
146,011,110,133,8,146,0
146,011,111,146,0,146,0
146,100,000,146,0,146,0
146,100,001,141,1,146,0
146,100,010,57,22,80,7
146,100,011,70,22,73,6
146,100,101,72,17,75,4
146,100,110,8,11,1,1
146,100,111,118,11,116,2
146,101,000,107,13,110,3
146,101,001,11,5,7,3
146,101,010,49,28,67,2
146,101,011,62,23,57,1
146,101,100,57,17,67,4
146,101,110,20,12,18,1
146,101,111,100,19,108,2
146,110,000,144,1,145,0
146,110,001,56,26,74,6
146,110,010,110,21,134,2
146,110,011,5,8,0,0
146,110,100,127,11,144,1
146,110,101,114,12,127,1
146,110,111,68,15,75,5
146,111,000,51,48,72,3
146,111,001,1,1,2,0
146,111,010,14,15,27,0
146,111,011,0,0,0,0
146,111,100,17,11,28,2
146,111,101,27,19,36,2
146,111,110,63,15,66,5
